F. Lemarchand (2013)
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
Lambda  Re(N)   Im(N)
1.685	1.465469 1e-8
1.690	1.465462 1e-8
1.695	1.465456 1e-8
1.700	1.465450 1e-8
1.705	1.465444 1e-8
1.710	1.465438 1e-8
1.715	1.465431 1e-8
1.720	1.465425 1e-8
1.725	1.465419 1e-8
1.730	1.465413 1e-8
1.735	1.465408 1e-8
1.740	1.465402 1e-8
1.745	1.465396 1e-8
1.750	1.465390 1e-8
1.755	1.465385 1e-8
1.760	1.465379 1e-8
1.765	1.465373 1e-8
1.770	1.465368 1e-8
1.775	1.465362 1e-8
1.780	1.465357 1e-8
1.785	1.465351 1e-8
1.790	1.465346 1e-8
1.795	1.465341 1e-8
1.800	1.465335 1e-8
1.805	1.465330 1e-8
1.810	1.465325 1e-8
1.815	1.465320 1e-8
1.820	1.465315 1e-8
1.825	1.465310 1e-8
1.830	1.465305 1e-8
1.835	1.465300 1e-8
1.840	1.465295 1e-8
1.845	1.465290 1e-8
1.850	1.465285 1e-8
1.855	1.465280 1e-8
1.860	1.465275 1e-8
1.865	1.465271 1e-8
1.870	1.465266 1e-8
1.875	1.465261 1e-8
1.880	1.465257 1e-8
1.885	1.465252 1e-8
1.890	1.465248 1e-8
1.895	1.465243 1e-8
1.900	1.465239 1e-8
1.905	1.465234 1e-8
1.910	1.465230 1e-8
1.915	1.465225 1e-8
1.920	1.465221 1e-8
1.925	1.465217 1e-8
1.930	1.465212 1e-8
1.935	1.465208 1e-8
1.940	1.465204 1e-8
1.945	1.465200 1e-8
1.950	1.465196 1e-8
1.955	1.465192 1e-8
1.960	1.465187 1e-8
1.965	1.465183 1e-8
1.970	1.465179 1e-8
1.975	1.465175 1e-8
1.980	1.465171 1e-8
1.985	1.465167 1e-8
1.990	1.465164 1e-8
1.995	1.465160 1e-8
2.000	1.465156 1e-8
2.005	1.465152 1e-8
2.010	1.465148 1e-8
2.015	1.465145 1e-8
2.020	1.465141 1e-8
2.025	1.465137 1e-8
2.030	1.465133 1e-8
2.035	1.465130 1e-8
2.040	1.465126 1e-8
2.045	1.465123 1e-8
2.050	1.465119 1e-8
2.055	1.465115 1e-8
2.060	1.465112 1e-8
2.065	1.465108 1e-8
2.070	1.465105 1e-8
2.075	1.465102 1e-8
2.080	1.465098 1e-8
2.085	1.465095 1e-8
2.090	1.465091 1e-8
2.095	1.465088 1e-8
2.100	1.465085 1e-8
2.105	1.465081 1e-8
2.110	1.465078 1e-8
2.115	1.465075 1e-8
2.120	1.465072 1e-8
2.125	1.465069 1e-8
2.130	1.465065 1e-8
2.135	1.465062 1e-8
2.140	1.465059 1e-8
2.145	1.465056 1e-8
2.150	1.465053 1e-8
2.155	1.465050 1e-8
2.160	1.465047 1e-8
2.165	1.465044 1e-8
2.170	1.465041 1e-8
2.175	1.465038 1e-8
2.180	1.465035 1e-8
2.185	1.465032 1e-8
2.190	1.465029 1e-8
2.195	1.465026 1e-8
2.200	1.465023 1e-8
2.205	1.465020 1e-8
2.210	1.465017 1e-8
2.215	1.465015 1e-8
2.220	1.465012 1e-8
2.225	1.465009 1e-8
2.230	1.465006 1e-8
2.235	1.465003 1e-8
2.240	1.465001 1e-8
2.245	1.464998 1e-8
2.250	1.464995 1e-8
2.255	1.464993 1e-8
2.260	1.464990 1e-8
2.265	1.464987 1e-8
2.270	1.464985 1e-8
2.275	1.464982 1e-8
2.280	1.464980 1e-8
2.285	1.464977 1e-8
2.290	1.464974 1e-8
2.295	1.464972 1e-8
2.300	1.464969 1e-8
2.305	1.464967 1e-8
2.310	1.464964 1e-8
2.315	1.464962 1e-8
2.320	1.464959 1e-8
2.325	1.464957 1e-8
2.330	1.464955 1e-8
2.335	1.464952 1e-8
2.340	1.464950 1e-8
2.345	1.464947 1e-8
2.350	1.464945 1e-8
2.355	1.464943 1e-8
2.360	1.464940 1e-8
2.365	1.464938 1e-8
2.370	1.464936 1e-8
2.375	1.464933 1e-8
2.380	1.464931 1e-8
2.385	1.464929 1e-8
2.390	1.464927 1e-8
2.395	1.464924 1e-8
2.400	1.464922 1e-8
2.405	1.464920 1e-8
2.410	1.464918 1e-8
2.415	1.464916 1e-8
2.420	1.464913 1e-8
2.425	1.464911 1e-8
2.430	1.464909 1e-8
2.435	1.464907 1e-8
2.440	1.464905 1e-8
2.445	1.464903 1e-8
2.450	1.464901 1e-8
2.455	1.464899 1e-8
2.460	1.464897 1e-8
2.465	1.464895 1e-8
2.470	1.464892 1e-8
2.475	1.464890 1e-8
2.480	1.464888 1e-8
2.485	1.464886 1e-8
2.490	1.464884 1e-8
2.495	1.464882 1e-8
2.500	1.464881 1e-8
